product_name,category_shelf,match_key
BECOACTIN CYPROHEPTADINE CAPS 30'S,OTC,becoactin cyproheptadine caps 30's
BEECHAMS ALL IN ONE SYR 160ML,Pharmacy medicine,beechams all in one syr 160ml
BEECHAMS ALL IN ONE TABS 16'S,Other / uncategorised,beechams all in one tabs 16's
BEECHAMS COLD & FLU ALL TYPES 5'S,OTC,beechams cold & flu all types 5's
BEECHAMS COLD & FLU BLACKCURRANT 5'S,Other / uncategorised,beechams cold & flu blackcurrant 5's
BEECHAMS FLU PLUS CAPLETS 16'S,OTC,beechams flu plus caplets 16's
BEECHAMS FLU PLUS SACHET,Pharmacy medicine,beechams flu plus sachet
BEECHAMS POWDER 20'S,Other / uncategorised,beechams powder 20's
BEECHAMS POWDER SACHETS 10'S,OTC,beechams powder sachets 10's
BEEHIVE BALSAM SYRUP 200ML,OTC,beehive balsam syrup 200ml
BELL'S EMOLLIENT CREAM 250G,Cosmetics,bell's emollient cream 250g
